,Course,College,Year Level,School Year,No.,Appno,SCHOOL,Cntr,Date,Pr1,Pr2,Pr3,Pr4,Pr5,Oapr,Word,SY
0,BAT,College of Agriculture,1,2018-2019,957.0,1819-06087,MARCELO SPINOLA SCHOOL,ZAM,3/11/2018,68.5,48.4,85.06,89.31,43.49,74.25,Seventy Four Point Twenty Five,2018-2019
1,BAT,College of Agriculture,1,2018-2019,1699.0,1819-02185,DON PABLO LORENZO MEMORIAL HIGH SCHOOL,ZAM,2/25/2018,74.8,48.4,59.25,10.45,53.29,60.09,Sixty Point Nine,2018-2019
2,BAT,College of Agriculture,1,2018-2019,3175.0,1819-12104,ILIGAN CAPITOL COLLEGE,TUN,4/15/2018,84.91,48.4,51.68,34.54,33.69,68.07,Sixty Eight Point Seven,2018-2019
3,BAT,College of Agriculture,1,2018-2019,6723.0,1819-06076,MARCELO SPINOLA SCHOOL,ZAM,3/11/2018,58.56,71.99,59.25,24.91,63.1,61.37,Sixty One Point Thirty Seven,2018-2019
4,BAT,College of Agriculture,1,2018-2019,11065.0,1819-05353,SYSTEM TECHNOLOGY INSTITUTE,ZAM,3/4/2018,61.05,35.7,59.25,70.61,63.1,61.37,Sixty One Point Thirty Seven,2018-2019
5,BAT,College of Agriculture,1,2018-2019,11784.0,1819-05252,MARCELO SPINOLA SCHOOL,ZAM,3/4/2018,82.02,77.12,72.66,63.45,95.65,84.19,Eighty Four Point Nineteen,2018-2019
6,BS AGRI,College of Agriculture,1,2018-2019,456.0,1819-01314,AYALA NATIONAL HIGH SCHOOL,ZAM,2/18/2018,52.9,77.12,29.96,75.28,53.29,61.37,Sixty One Point Thirty Seven,2018-2019
7,BS AGRI,College of Agriculture,1,2019-2020,456.0,1819-01314,AYALA NATIONAL HIGH SCHOOL,ZAM,2/18/2018,52.9,77.12,29.96,75.28,53.29,61.37,Sixty One Point Thirty Seven,2018-2019
8,BS AGRI,College of Agriculture,1,2018-2019,513.0,1819-03541,MARIA CLARA LOBREGAT NATIONAL HIGH SCHOOL,ZAM,2/25/2018,68.5,54.75,36.55,70.61,43.49,62.48,Sixty Two Point Forty Eight,2018-2019
9,BS AGRI,College of Agriculture,1,2018-2019,1438.0,1819-00738,MANICAHAN NATIONAL HIGH SCHOOL,ZAM,2/18/2018,74.8,66.85,89.19,93.38,72.9,84.19,Eighty Four Point Nineteen,2018-2019
10,BS AGRI,College of Agriculture,1,2018-2019,1717.0,1819-01908,AYALA NATIONAL HIGH SCHOOL,ZAM,2/18/2018,58.56,66.85,72.66,79.96,33.69,66.95,Sixty Six Point Ninety Five,2018-2019
11,BS AGRI,College of Agriculture,1,2018-2019,2038.0,1819-05027,AURORA PIONEER MEMORIAL COLLEGE,ZAM,3/4/2018,58.56,87.4,80.93,34.54,9.69,62.48,Sixty Two Point Forty Eight,2018-2019
12,BS AGRI,College of Agriculture,1,2018-2019,3311.0,1819-01894,AYALA NATIONAL HIGH SCHOOL,ZAM,2/18/2018,82.02,61.11,72.66,53.82,87.72,79.72,Seventy Nine Point Seventy Two,2018-2019
13,BS AGRI,College of Agriculture,1,2018-2019,3710.0,1819-02826,MARIA CLARA LOBREGAT NATIONAL HIGH SCHOOL,ZAM,2/25/2018,74.8,71.99,76.79,75.28,79.78,79.72,Seventy Nine Point Seventy Two,2018-2019
14,BS AGRI,College of Agriculture,1,2018-2019,3770.0,1819-10929,NONE,IPI,3/25/2018,49.95,77.12,66.81,70.61,63.1,65.83,Sixty Five Point Eighty Three,2018-2019
15,BS AGRI,College of Agriculture,1,2018-2019,3779.0,1819-02210,DON PABLO LORENZO MEMORIAL HIGH SCHOOL,ZAM,2/25/2018,55.84,61.11,59.25,24.91,79.78,60.09,Sixty Point Nine,2018-2019
16,BS AGRI,College of Agriculture,1,2018-2019,5129.0,1819-11282,WESTERN MINDANAO STATE UNIVERSITY,OTC,4/8/2018,58.56,54.75,59.25,53.82,72.9,62.48,Sixty Two Point Forty Eight,2018-2019
17,BS AGRI,College of Agriculture,1,2018-2019,5316.0,1819-03604,MARIA CLARA LOBREGAT NATIONAL HIGH SCHOOL,ZAM,2/25/2018,61.05,48.4,89.19,44.18,33.69,63.6,Sixty Three Point Sixty,2018-2019
18,BS AGRI,College of Agriculture,1,2018-2019,5325.0,1819-08213,DIPLAHAN NATIONAL HIGH SCHOOL,PLA,3/17/2018,74.8,30.03,76.79,44.18,53.29,65.83,Sixty Five Point Eighty Three,2018-2019
19,BS AGRI,College of Agriculture,1,2018-2019,5662.0,1819-02408,CLARET HIGH SCHOOL,ZAM,2/25/2018,72.78,61.11,44.12,24.91,79.78,65.83,Sixty Five Point Eighty Three,2018-2019
20,BS AGRI,College of Agriculture,1,2018-2019,7961.0,1819-01084,AYALA NATIONAL HIGH SCHOOL,ZAM,2/18/2018,58.56,48.4,59.25,63.45,53.29,60.09,Sixty Point Nine,2018-2019
21,BS AGRI,College of Agriculture,1,2018-2019,8757.0,1819-00606,AYALA NATIONAL HIGH SCHOOL,ZAM,2/18/2018,66.01,61.11,80.93,75.28,53.29,72.43,Seventy Two Point Forty Three,2018-2019
22,BS AGRI,College of Agriculture,1,2018-2019,8883.0,1819-01856,ICAS DE CALARIAN,ZAM,2/18/2018,66.01,54.75,51.68,2.74,95.65,61.37,Sixty One Point Thirty Seven,2018-2019
23,BS AGRI,College of Agriculture,1,2018-2019,9237.0,1819-01008,TALISAYAN NATIONAL HIGH SCHOOL,ZAM,2/18/2018,41.05,82.26,66.81,75.28,79.78,66.95,Sixty Six Point Ninety Five,2018-2019
24,BS AGRI,College of Agriculture,1,2018-2019,9955.0,1819-05377,MARCELO SPINOLA SCHOOL,ZAM,3/4/2018,96.52,92.88,89.19,94.54,63.1,95.73,Ninety Five Point Seventy Three,2018-2019
25,BS AGRI,College of Agriculture,1,2018-2019,10558.0,1819-00285,BALIWASAN SENIOR HIGH SCHOOL WEST,ZAM,2/18/2018,61.05,82.26,59.25,94.54,26.06,73.34,Seventy Three Point Thirty Four,2018-2019
26,BS AGRI,College of Agriculture,1,2018-2019,10705.0,1819-09247,PAGADIAN CITY NATIONAL HIGH SCHOOL,PAG,3/17/2018,87.6,35.7,44.12,44.18,43.49,69.19,Sixty Nine Point Nineteen,2018-2019
27,BS AGRI,College of Agriculture,1,2018-2019,10744.0,1819-03685,DON PABLO LORENZO MEMORIAL HIGH SCHOOL,ZAM,2/25/2018,72.78,54.75,24.36,24.91,79.78,61.37,Sixty One Point Thirty Seven,2018-2019
28,BS AGRI,College of Agriculture,1,2018-2019,12379.0,1819-03682,DON PABLO LORENZO MEMORIAL HIGH SCHOOL,ZAM,2/25/2018,78.85,42.05,85.06,92.22,87.72,83.5,Eighty Three Point Fifty,2018-2019
29,BS AGRIBUS,College of Agriculture,1,2018-2019,3704.0,1819-02879,SYSTEM TECHNOLOGY INSTITUTE,ZAM,2/25/2018,49.95,71.99,76.79,70.61,63.1,66.95,Sixty Six Point Ninety Five,2018-2019
30,BS AGRIBUS,College of Agriculture,1,2018-2019,4166.0,1819-06750,UNIVERSIDAD DE ZAMBOANGA SENIOR HIGH SCHOOL,ZAM,3/11/2018,76.83,82.26,59.25,70.61,91.68,81.43,Eighty One Point Forty Three,2018-2019
31,BS AGRIBUS,College of Agriculture,1,2018-2019,6434.0,1819-00733,MANICAHAN NATIONAL HIGH SCHOOL,ZAM,2/18/2018,68.5,90.94,59.25,70.61,43.49,73.34,Seventy Three Point Thirty Four,2018-2019
32,BS AGRIBUS,College of Agriculture,1,2018-2019,9909.0,1819-05350,MARCELO SPINOLA SCHOOL,ZAM,3/4/2018,72.78,87.4,76.79,53.82,79.78,78.81,Seventy Eight Point Eighty One,2018-2019
33,BS AGRIBUS,College of Agriculture,1,2018-2019,11766.0,1819-04362,SYSTEM TECHNOLOGY INSTITUTE,ZAM,3/4/2018,63.53,48.4,66.81,92.22,79.78,73.34,Seventy Three Point Thirty Four,2018-2019
34,BS AGRIBUS,College of Agriculture,1,2018-2019,13044.0,1819-05302,ZAMBOANGA CITY STATE POLYTECHNIC COLLEGE,ZAM,3/4/2018,58.56,61.11,72.66,44.18,33.69,60.09,Sixty Point Nine,2018-2019
35,BS FT,College of Agriculture,1,2018-2019,1703.0,1819-00964,TALISAYAN NATIONAL HIGH SCHOOL,ZAM,2/18/2018,61.05,54.75,72.66,44.18,43.49,61.37,Sixty One Point Thirty Seven,2018-2019
36,BS FT,College of Agriculture,1,2018-2019,3584.0,1819-05429,MARIA CLARA LOBREGAT NATIONAL HIGH SCHOOL,ZAM,3/4/2018,76.83,90.94,85.06,10.45,91.68,80.63,Eighty Point Sixty Three,2018-2019
37,BS FT,College of Agriculture,1,2018-2019,7467.0,1819-07805,DON RAMON ENRIQUEZ MEMORIAL HIGH SCHOOL,VIT,3/10/2018,47.0,92.88,66.81,18.16,43.49,60.09,Sixty Point Nine,2018-2019
38,BS FT,College of Agriculture,1,2018-2019,11483.0,1819-04433,TAMPAKAN NATIONAL HIGH SCHOOL,ZAM,3/4/2018,68.5,77.12,36.55,44.18,33.69,62.48,Sixty Two Point Forty Eight,2018-2019
39,BSAB,College of Agriculture,1,2018-2019,2411.0,1819-11060,MEDINA COLLEGE,OTC,4/8/2018,74.8,66.85,36.55,18.16,63.1,63.6,Sixty Three Point Sixty,2018-2019
40,BSAB,College of Agriculture,1,2018-2019,9644.0,1819-06142,MARCELO SPINOLA SCHOOL,ZAM,3/11/2018,83.47,87.4,80.93,53.82,63.1,82.81,Eighty Two Point Eighty One,2018-2019
41,BSAB,College of Agriculture,1,2018-2019,10787.0,1819-00966,TALISAYAN NATIONAL HIGH SCHOOL,ZAM,2/18/2018,72.78,94.82,80.93,79.96,72.9,84.19,Eighty Four Point Nineteen,2018-2019
42,BSAT,College of Agriculture,1,2018-2019,11530.0,1819-04166,SYSTEM TECHNOLOGY INSTITUTE,ZAM,3/4/2018,83.47,82.26,59.25,75.28,63.1,81.43,Eighty One Point Forty Three,2018-2019
43,DATBAT,College of Agriculture,1,2018-2019,7924.0,1920-15816,WESTERN MINDANAO STATE UNIVERSITY,OTC,4/7/2019,49.95,54.75,36.55,24.91,33.69,44.06,Forty Four Point Zero Six,2019-2020
44,BS ARCH,College of Architecture,1,2018-2019,52.0,1819-01501,BALIWASAN SENIOR HIGH SCHOOL WEST,ZAM,2/18/2018,49.95,77.12,76.79,24.91,79.78,64.72,Sixty Four Point Seventy Two,2018-2019
45,BS ARCH,College of Architecture,1,2019-2020,52.0,1819-01501,BALIWASAN SENIOR HIGH SCHOOL WEST,ZAM,2/18/2018,49.95,77.12,76.79,24.91,79.78,64.72,Sixty Four Point Seventy Two,2018-2019
46,BS ARCH,College of Architecture,1,2018-2019,75.0,1819-01646,FERNDALE INTERNATIONAL SCHOOL,ZAM,2/18/2018,90.77,77.12,85.06,63.45,83.75,88.7,Eighty Eight Point Seventy,2018-2019
47,BS ARCH,College of Architecture,1,2018-2019,91.0,1819-01753,BALIWASAN SENIOR HIGH SCHOOL WEST,ZAM,2/18/2018,63.53,54.75,66.81,53.82,53.29,63.6,Sixty Three Point Sixty,2018-2019
48,BS ARCH,College of Architecture,1,2018-2019,265.0,1819-00425,BALIWASAN SENIOR HIGH SCHOOL WEST,ZAM,2/18/2018,74.8,48.4,66.81,63.45,33.69,66.95,Sixty Six Point Ninety Five,2018-2019
49,BS ARCH,College of Architecture,1,2018-2019,285.0,1819-04029,NOTRE DAME OF JOLO COLLEGE,ZAM,3/4/2018,87.6,92.88,66.81,44.18,53.29,82.81,Eighty Two Point Eighty One,2018-2019
